序号	成交时间	合约代码	           合约名称	业务类别	业务行为	  订单所有类型	成交价格	成交数量	成交金额	委托价格	委托数量	  合同序号	        成交编号	  成交类型	证券代码	       证券名称	预占用保证金	占用保证金	预释放保证金	释放保证金	          合约标志	    期权合约账户	交易市场	委托来源	
   1	14:56:34	10011704	    300ETF购7月5000	卖出平仓	 限价GFD	个人投资者发起	  0.0725	       1	 725.000	  0.0725	       1	SK39000105	   3000000753872	交易所成交	  510300	         300ETF	       0.000	     0.000	       0.000	     0.000	 510300C2607M05000	   A431907445888	    上海	        	
   2	14:56:02	10010602	     50ETF购6月3100	卖出平仓	 限价GFD	个人投资者发起	  0.0074	       1	  74.000	  0.0070	       2	SK39000103	   3000000751577	交易所成交	  510050	          50ETF	       0.000	     0.000	       0.000	     0.000	 510050C2606M03100	   A431907445888	    上海	        	
   3	14:56:02	10010602	     50ETF购6月3100	卖出平仓	 限价GFD	个人投资者发起	  0.0075	       1	  75.000	  0.0070	       2	SK39000103	   3000000751576	交易所成交	  510050	          50ETF	       0.000	     0.000	       0.000	     0.000	 510050C2606M03100	   A431907445888	    上海	        	
   4	14:55:48	10010861	    500ETF沽6月8000	买入开仓	 限价GFD	个人投资者发起	  0.0132	       1	 132.000	  0.0137	       1	SK39000102	   3030001295624	交易所成交	  510500	         500ETF	       0.000	     0.000	       0.000	     0.000	 510500P2606M08000	   A431907445888	    上海	        	
   5	14:55:31	90006981	中证500ETF购6月3400	卖出平仓	 限价GFD	个人投资者发起	  0.0421	       1	 421.000	  0.0417	       1	  AD260031	0402000038878440	交易所成交	  159922	 中证500ETF嘉实	       0.000	     0.000	       0.000	     0.000	159922C2606M003400	0393337920966017	    深圳	        	
   6	14:55:24	10010855	    500ETF购6月8750	卖出平仓	 限价GFD	个人投资者发起	  0.0452	       1	 452.000	  0.0448	       1	SK39000101	   3030001293004	交易所成交	  510500	         500ETF	       0.000	     0.000	       0.000	     0.000	 510500C2606M08750	   A431907445888	    上海	        	
   7	14:55:18	10010928	    300ETF购6月5000	卖出平仓	 限价GFD	个人投资者发起	  0.0198	       1	 198.000	  0.0193	       1	SK39000100	   3000000748473	交易所成交	  510300	         300ETF	       0.000	     0.000	       0.000	     0.000	 510300C2606M05000	   A431907445888	    上海	        	
   8	14:54:57	10010602	     50ETF购6月3100	卖出平仓	 限价GFD	个人投资者发起	  0.0075	       1	  75.000	  0.0070	       1	SK39000099	   3000000746625	交易所成交	  510050	          50ETF	       0.000	     0.000	       0.000	     0.000	 510050C2606M03100	   A431907445888	    上海	        	
   9	14:51:35	10010935	    300ETF沽6月4800	买入开仓	 限价GFD	个人投资者发起	  0.0156	       1	 156.000	  0.0161	       1	SK39000098	   3000000733152	交易所成交	  510300	         300ETF	       0.000	     0.000	       0.000	     0.000	 510300P2606M04800	   A431907445888	    上海	        	
  10	14:51:01	90006981	中证500ETF购6月3400	卖出平仓	 限价GFD	个人投资者发起	  0.0412	       1	 412.000	  0.0412	       1	  AD260027	0402000038505921	交易所成交	  159922	 中证500ETF嘉实	       0.000	     0.000	       0.000	     0.000	159922C2606M003400	0393337920966017	    深圳	        	
